title,author,description,categories,publisher,cover_image,store_url
แฮร์รี่ พอตเตอร์ กับศิลาอาถรรพ์,J.K. Rowling,"หนังสือ ""แฮร์รี่ พอตเตอร์ กับศิลาอาถรรพ์ เล่ม 1 (พิมพ์ครั้งที่ 16)"" คือจุดเริ่มต้นของการผจญภัยในโลกเวทมนตร์ที่ได้รับความนิยมสูงสุด นำเสนอสตอรี่ของเด็กชายชื่อแฮร์รี่ซึ่งชีวิตธรรมดาได้เปลี่ยนไปตลอดกาลเมื่อเขาค้นพบความลับของตนเองและได้รับเชิญสู่ฮอกวอตส์ กลายเป็นเรื่องราวที่ผสมผสานระหว่างการผจญภัย มิตรภาพ และการค้นหาตัวตนที่ตราตรึงใจ",fantasy|action_adventure,NANMEEBOOKS,/books/harry-potter-1.jpg,https://surl.lt/lgatqp
แฮร์รี่ พอตเตอร์ กับห้องแห่งความลับ,J.K. Rowling,แฮร์รี่จะได้ขึ้นชั้นปีที่สองที่ฮอกวอตส์แล้วแต่ดูเหมือนอะไร ๆ ก็ผิดพลาดไปหมดทั้งเรื่องที่เขากับรอนเข้าไปขึ้นรถไฟที่ชานชาลาหมายเลขเก้าเศษสามส่วนสี่ไม่ได้ลูกบลัดเจอร์ที่มุ่งโจมตีเขาตลอดการแข่งควิดดิชและที่หนักที่สุด เพื่อนนักเรียนถูกทำร้าย...ใครกันที่เป็นต้นเหตุของเรื่องทั้งหมดนี้คนที่คุณก็รู้ว่าใคร หรือตัวแฮร์รี่เองตามที่เพื่อนนักเรียนสงสัยกันแน่,fantasy|action_adventure,NANMEEBOOKS,/books/harry-potter-2.jpg,https://surl.lt/zoctqv
แฮร์รี่ พอตเตอร์ กับนักโทษแห่งอัซคาบัน (ฉบับครบรอบ 20 ปี),J.K. Rowling,อีกปีที่ห่างไกลจากความธรรมดาของแฮร์รี่ พอตเตอร์กำลังจะเริ่มขึ้น  ซิเรียส แบล็ก ฆาตกรสังหารหมู่ได้แหกคุกออกมา  ทุกคนพูดกันว่าเขากำลังตามล่าแฮร์รี่  แต่บางทีสิ่งชวนผวาที่สุดอาจเป็นผู้คุมวิญญาณซึ่งยึดโยงเฝ้ายามอยู่ที่ฮอกวอตส์กับจุมพิตมรณะของพวกมัน,fantasy|action_adventure,NANMEEBOOKS,/books/harry-potter-3.jpg,https://surl.li/vbydve
แฮร์รี่ พอตเตอร์ กับถ้วยอัคนี (ฉบับครบรอบ 20 ปี),J.K. Rowling,ตรามารปรากฏขึ้นบนท้องฟ้าราวกับลางร้ายเหนือสนามแข่งควิดดิชเวิลด์คัป แล้วถ้วยอัคนีก็ตัดสินใจเลือกตัวแทนเข้าแข่งขันการประลองเวทไตรภาคี ให้ฮอกวอตส์เสียเอง แฮร์รี่ แปลกใจมากที่เขาเป็นหนึ่งในผู้ได้รับเลือก ใครกันแน่ที่อยู่เบื้องหลังเหตุการณ์ไม่ธรรมดาเหล่านี้,fantasy|action_adventure,NANMEEBOOKS,/books/harry-potter-4.jpg,https://surl.lt/bvffer
แฮร์รี่ พอตเตอร์ กับภาคีนกฟีนิกซ์ (ฉบับครบรอบ 20 ปี),J.K. Rowling,ฮอกวอตส์ต้องเผชิญกับช่วงเวลาแสนมืดมนหลายคนปฏิเสธความจริงที่ว่าจอมมารกลับมาแล้ว แต่แฮร์รี่ไม่ได้อยู่ตัวคนเดียว ภาคีลับก่อตัวขึ้นที่กริมโมลด์เพลซเพื่อต่อสู้กลับแฮร์รี่ต้องยอมให้ศาสตราจารย์สเนปสอนเขาป้องกันไม่ให้ลอร์ดโวลเดอมอร์จู่โจมจิตใจ แต่การโจมตีรุนแรงขึ้นเรื่อยๆ และเวลาของแฮร์รี่ก็จวนจะหมดลงแล้ว,fantasy|action_adventure,NANMEEBOOKS,/books/harry-potter-5.jpg,https://surl.li/hecbql
แฮร์รี่ พอตเตอร์ กับเจ้าชายเลือดผสม,J.K. Rowling,ความลับและความหวาดระแวงกระจายไปทั่วโลกเวทมนตร์ ฮอกวอตส์ไม่ปลอดภัยอีกต่อไป แฮร์รี่เข้าใจว่ามัลฟอยถูกตีตรามารแล้ว มีผู้เสพความตายคนหนึ่งอยู่ท่ามกลางพวกเขา แฮร์รี่จำเป็นต้องมีเวทมนตร์แรงกล้าและเพื่อนแท้ เมื่อเขาค้นพบความลับดำมืดที่สุดของลอร์ดโวลเดอร์มอร์ และดัมเบิลดอร์ก็เตรียมเขาให้พร้อมเผชิญชะตากรรมของตัวเอง,fantasy|action_adventure,NANMEEBOOKS,/books/harry-potter-6.jpg,https://surl.li/gutset
แฮร์รี่ พอตเตอร์ กับเครื่องรางยมทูต,J.K. Rowling,เมื่อแฮร์รี่ออกจากซอยพรีเวตเป็นครั้งสุดท้าย เขาก็รู้ว่าลอร์ดโวลเดอร์มอร์และเหล่าผู้เสพความตายอยู่ไม่ไกลแล้ว จอมมารหว่านความหวาดกลัวใส่ทุกสิ่งที่แฮร์รี่รัก หากจะหยุดยั้งเขา แฮร์รี่ต้องตามหาและทำลายฮอร์ครักซ์ทั้งหมด สงครามครั้งสุดท้ายกำลังจะเริ่ม และแฮร์รี่ต้องยืนหยัดเผชิญหน้าศัตรูของเขาก่อนจะสายเกินไป,fantasy|action_adventure,NANMEEBOOKS,/books/harry-potter-7.jpg,https://surl.li/ohkhtj
ฮอบบิท The Hobbit,J. R. R. Tolkien,"ฮอบบิท และเป็นที่มาของมหากาพย์เรื่องยิ่งใหญ่ของโลก ""The Lord of the Rings"" แต่การผจญภัยของ 'บิลโบ แบ๊กกิ้นส์' แตกต่างจากการเผชิญภัยของ 'โฟรโด' อย่างเห็นได้ชัด โฟรโด แบ๊กกิ้นส์ ใน ""The Lord of the Rings"" ไม่ได้สมัครใจจะไปเผชิญภัยทั้งหลายทั้งปวง เขาถูกผลักดันเข้าไปทำ และถูกกระตุ้นโดยจิตสำนึกส่วนลึกว่า ""ต้องทำ"" โฟรโดต้องออกเดินทางโดยไม่รู้ว่าเหตุการณ์ทั้งหมดจะนำไปสู่เรื่องใด จะได้กลับมาบ้านอีกครั้งหรือไม่ หรือกลับมาพร้อมกับบาดแผลที่ทำให้บ้านไม่เหมือนเดิมอีกต่อไป ส่วนเล่มนี้ บิลโบออกผจญภัยด้วยความสมัครใจ",fantasy|action_adventure,แพรว (TH),/books/the_hobbit.jpg,https://surl.li/wprpgw
เดอะลอร์ดออฟเดอะริงส์: มหันตภัยแห่งแหวน,J. R. R. Tolkien,ปฐมบทของการเผชิญภัยเพื่อทำลายแหวนและนำไปสู่สงครามครั้งยิ่งใหญ่ของโลกที่ไม่ได้มีแค่มนุษย์อาศัยอยู่ หากยังมีพวกเอลฟ์ ฮอบบิท คนแคระ โทรลล์ ออร์ค และเผ่าพันธุ์อื่นๆ เนื้อเรื่องกล่าวถึงคุณธรรมและการคงไว้ซึ่งความดี ด้วยมุมมองที่ลึกซึ้งและแตกต่าง เรื่องราวเริ่มต้นที่ความสนุกสนานรื่นเริงในงานเลี้ยงอำลาที่ไม่มีใครคาดฝัน 'บิลโบ แบ๊กกิ้นส์' ออกจากบ้านไป ละทิ้งสมบัติพัสถานทุกอย่างที่ได้มาจากการผจญภัยพิลึกพิลั่นของเขาเมื่อหลายปีก่อน รวมทั้งแหวนอันเป็นมหันตภัยวงนี้ให้ตกเป็นของหลานรัก 'โฟรโด แบ๊กกิ้นส์' โดยไม่รู้ว่านั่นคือการมอบมรดกอันเป็นหายนะโดยแท้ โฟรโดต้องออกเดินทางสู่โลกกว้าง ฝ่าฟันอันตรายนานัปการเพื่อนำแหวนไปทำลายในดินแดนของอสูรร้ายที่สร้างมันขึ้นมา,fantasy|action_adventure,แพรวเยาวชน,/books/lotr_1.jpg,https://surl.li/biwlbu
เดอะลอร์ดออฟเดอะริงส์: หอคอยคู่พิฆาต,J. R. R. Tolkien,หลังจากเล่ม 1 จบลงที่ “คณะเดินทางแตกสลาย”พวกเขาต้องสูญเสียเพื่อนร่วมทางบางคน ที่เหลือก็กระจัดกระจายกันไปคนละทาง ต่างคนต่างต้องเผชิญชะตากรรมด้วยความกล้าหาญส่วนตัวกับความเชื่อมั่นในเพื่อนร่วมทางว่าจะร่วมกันไปสู่จุดหมายได้ในที่สุด,fantasy|action_adventure,แพรวเยาวชน,/books/lotr_2.jpg,https://surl.li/ijkyil
